score_id,industry_l1_id,industry_l2_id,industry_l3_id
BVU-7220201-thpt-G010-2025-5835.253173828125,722,02,01
BVU-7220201-thpt-G034-2025-5835.2666015625,722,02,01
BVU-7220201-thpt-G170-2025-5835.270263671875,722,02,01
BVU-7220201-thpt-G045-2025-5835.272216796875,722,02,01
BVU-7220201C1-thpt-G010-2025-5962.340087890625,722,02,01
BVU-7220201C1-thpt-G034-2025-5962.355224609375,722,02,01
BVU-7220201C1-thpt-G170-2025-5962.360107421875,722,02,01
BVU-7220201C1-thpt-G045-2025-5962.36328125,722,02,01
BVU-7220201C2-thpt-G010-2025-6074.792236328125,722,02,01
BVU-7220201C2-thpt-G034-2025-6074.802001953125,722,02,01
BVU-7220201C2-thpt-G170-2025-6074.8046875,722,02,01
BVU-7220201C2-thpt-G045-2025-6074.806884765625,722,02,01
BVU-7220201C3-thpt-G010-2025-6186.2998046875,722,02,01
BVU-7220201C3-thpt-G034-2025-6186.31494140625,722,02,01
BVU-7220201C3-thpt-G170-2025-6186.31884765625,722,02,01
BVU-7220201C3-thpt-G045-2025-6186.322021484375,722,02,01
BVU-7220201CT-thpt-G010-2025-6326.69580078125,722,02,01
BVU-7220201CT-thpt-G035-2025-6326.710693359375,722,02,01
BVU-7220201CT-thpt-G034-2025-6326.716552734375,722,02,01
BVU-7220201CT-thpt-G030-2025-6326.72021484375,722,02,01
BVU-7220204-thpt-G035-2025-6520.149169921875,722,02,04
BVU-7220204-thpt-G034-2025-6520.160400390625,722,02,04
BVU-7220204-thpt-G030-2025-6520.163330078125,722,02,04
BVU-7220204-thpt-G036-2025-6520.165283203125,722,02,04
BVU-7220204C1-thpt-G035-2025-6645.61865234375,714,02,34
BVU-7220204C1-thpt-G035-2025-6645.61865234375,722,02,04
BVU-7220204C1-thpt-G034-2025-6645.633544921875,714,02,34
BVU-7220204C1-thpt-G034-2025-6645.633544921875,722,02,04
BVU-7220204C1-thpt-G030-2025-6645.639404296875,714,02,34
BVU-7220204C1-thpt-G030-2025-6645.639404296875,722,02,04
BVU-7220204C1-thpt-G036-2025-6645.64306640625,714,02,34
BVU-7220204C1-thpt-G036-2025-6645.64306640625,722,02,04
BVU-7220204C2-thpt-G035-2025-6790.7138671875,714,02,34
BVU-7220204C2-thpt-G035-2025-6790.7138671875,722,02,04
BVU-7220204C2-thpt-G034-2025-6790.729248046875,714,02,34
BVU-7220204C2-thpt-G034-2025-6790.729248046875,722,02,04
BVU-7220204C2-thpt-G030-2025-6790.73388671875,714,02,34
BVU-7220204C2-thpt-G030-2025-6790.73388671875,722,02,04
BVU-7220204C2-thpt-G036-2025-6790.73681640625,714,02,34
BVU-7220204C2-thpt-G036-2025-6790.73681640625,722,02,04
BVU-7220204C3-thpt-G035-2025-7044.31689453125,714,02,34
BVU-7220204C3-thpt-G035-2025-7044.31689453125,722,02,04
BVU-7220204C3-thpt-G034-2025-7044.33251953125,714,02,34
BVU-7220204C3-thpt-G034-2025-7044.33251953125,722,02,04
BVU-7220204C3-thpt-G030-2025-7044.337890625,714,02,34
BVU-7220204C3-thpt-G030-2025-7044.337890625,722,02,04
BVU-7220204C3-thpt-G036-2025-7044.340576171875,714,02,34
BVU-7220204C3-thpt-G036-2025-7044.340576171875,722,02,04
BVU-7310401-thpt-G010-2025-7218.66796875,731,04,01
BVU-7310401-thpt-G035-2025-7218.68408203125,731,04,01
BVU-7310401-thpt-G034-2025-7218.688232421875,731,04,01
BVU-7310401-thpt-G030-2025-7218.69189453125,731,04,01
BVU-7310401C1-thpt-G010-2025-7346.409912109375,731,04,01
BVU-7310401C1-thpt-G035-2025-7346.42529296875,731,04,01
BVU-7310401C1-thpt-G034-2025-7346.4296875,731,04,01
BVU-7310401C1-thpt-G030-2025-7346.432861328125,731,04,01
BVU-7310608C1-thpt-G035-2025-7540.046142578125,731,06,08
BVU-7310608C1-thpt-G034-2025-7540.058837890625,731,06,08
