method_id,subject_id,base,year,min,max,distribution
dgtd,al,100,2024,13.470,97.470,"[0,0,0,0,0,18,36,59,83,136,195,284,438,574,776,1024,1261,1457,1634,1682,1611,1646,1468,1238,1054,882,645,486,326,284,154,112,95,59,30,36,24,0,0,0,0,0]"
dgtd,al,100,2023,1,100,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,4,4,8,10,18,27,16,24,43,49,47,82,96,120,149,200,206,235,241,292,361,369,357,396,427,420,439,435,441,422,394,418,343,363,331,292,286,249,237,210,202,151,133,108,102,84,65,61,47,45,29,27,20,16,18,14,8,6,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0]"
dgsg,al,1200,2024,0,1200,"[0,0,0,0,2,21,151,694,2519,6191,11016,14800,15901,14849,12256,9575,7247,4967,3054,1228,316,54,2,0]"
dgsg,al,1200,2023,0,1200,"[0,0,0,1,5,28,159,982,3409,8113,13051,16069,15941,13472,11104,8059,5405,3280,1707,692,208,38,2,0]"
dghn,al,150,2024,0,150,"[0,0,0,0,0,0,0,19,81,274,599,1197,1646,1989,2163,1983,1721,1234,817,499,262,125,44,12,0,0,0,0,0,0]"
dghn,al,150,2023,0,150,"[0,0,0,0,0,0,0,8,38,143,379,749,1186,1388,1543,1405,1236,921,618,395,210,97,38,8,0,0,0,0,0,0]"
dgcb,to,10,2024,1.5,10,"[1,5,22,42,98,174,275,294,355,378,340,287,222,147,222,147,77,43,10]"
dgcb,vl,10,2024,1,9.5,"[2,16,28,58,64,75,117,100,95,78,86,44,37,23,7,2,1]"
dgcb,hh,10,2024,1,10,"[0,6,13,29,41,58,81,81,90,101,84,85,65,51,47,25,15,7]"
dgcb,sh,10,2024,1.5,10,"[1,4,5,12,23,26,37,38,44,31,22,15,12,6,2,2,0]"
dgcb,nv,10,2024,2,9,"[1,2,13,83,212,264,281,357,306,201,61,15,0,0]"
dgcb,an,10,2024,1,9.5,"[0,1,4,9,10,27,44,83,104,219,280,330,338,286,195,44,3]"
dgcb,to,10,2023,1,10,"[0,1,4,10,17,30,46,85,127,156,166,181,196,142,121,59,28,7]"
