"id","name"
"714",Khoa học giáo dục và đào tạo giáo viên
"721",Nghệ thuật
"722",Nhân văn
"731",Khoa học xã hội và hành vi
"732",Báo chí và thông tin
"734",Kinh doanh và quản lý
"738",Pháp luật
"742",Khoa học sự sống
"744",Khoa học tự nhiên
"746",Toán và thống kê
"748",Máy tính và công nghệ thông tin
"751",Công nghệ kỹ thuật
"752",Kỹ thuật
"754",Sản xuất và chế biến
"758",Kiến trúc và xây dựng
"762",Nông lâm nghiệp và thủy sản
"764",Thú y
"772",Sức khỏe
"776",Dịch vụ xã hội
"781","Du lịch khách sạn, thể thao và dịch vụ cá nhân"
"784",Dịch vụ vận tải
"785",Môi trường và bảo vệ môi trường
"786",An ninh Quốc phòng
"790",Khác
