id,name,short_name,public,region
ANH,Học viện An ninh Nhân dân,,1,CA
ANS,Trường Đại học An ninh nhân dân,,1,CA
BKA,Đại học Bách khoa Hà Nội,HUST BKU,1,HNC
BMU,Trường Đại học Y dược Buôn Ma Thuột,BMTU,0,CR
BPH,Học viện Biên phòng,,1,QD
BVH,Học viện Công nghệ Bưu chính Viễn thông,PTIT,1,HNC
BVS,Học viện Công nghệ Bưu chính Viễn thông - Cơ sở TP.HCM,PTIT,1,HCMC
BVU,Trường Đại học Bà Rịa - Vũng Tàu,BRVTU,0,SR
CCM,Trường Đại học Công nghiệp Dệt may Hà Nội,HICT,1,HNC
CEA,Trường Đại học Kinh tế Nghệ An,,1,CR
CMC,Trường Đại học CMC,CMCU,1,HNC
CSH,Học viện Cảnh sát Nhân dân,,1,CA
CSS,Trường Đại học Cảnh sát nhân dân,,1,CA
DAD,Trường Đại học Đông Á,,0,CR
DBD,Trường Đại học Bình Dương,BDU,0,SR
DBG,Trường Đại học Nông Lâm Bắc Giang,,1,NR
DBH,Trường Đại học Quốc tế Bắc Hà,,0,NR
DBL,Trường Đại học Bạc Liêu,BLU,1,SR
DCA,Trường Đại học Chu Văn An,,0,NR
DCD,Trường Đại học Công nghệ Đồng Nai,,0,SR
DCH,Trường Sĩ quan Đặc công,,1,QD
DCL,Trường Đại học Cửu Long,,0,SR
DCN,Trường Đại học Công nghiệp Hà Nội,HaUI,1,HNC
DCQ,Trường Đại học Công nghệ và Quản lý Hữu nghị,,0,HNC
DCT,Trường Đại học Công thương TP.HCM,HUIT,1,HCMC
DCV,Trường Đại học Công nghiệp Vinh,,0,CR
DDA,Trường Đại học Công nghệ Đông Á,,0,NR
DDB,Trường Đại học Thành Đông,,0,NR
DDF,"Trường Đại học Ngoại ngữ, Đại học Đà Nẵng",UFL,1,CR
DDG,"Khoa Giáo dục Thể chất, Đại học Đà Nẵng",FPE,1,CR
DDK,"Trường Đại học Bách Khoa, Đại học Đà Nẵng",DUT BKU,1,CR
DDL,Trường Đại học Điện lực,EPU,1,HNC
DDM,Trường Đại học Công nghiệp Quảng Ninh,,1,NR
DDN,Trường Đại học Đại Nam,DNU,0,HNC
DDP,Phân hiệu Đại học Đà Nẵng tại Kon Tum,,1,CR
DDQ,"Trường Đại học Kinh tế, Đại học Đà Nẵng",DUE,1,CR
DDS,"Trường Đại học Sư phạm, Đại học Đà Nẵng",UED,1,CR
DDT,Trường Đại học Duy Tân,DTU,0,CR
DDU,Trường Đại học Đông Đô,,0,HNC
DDV,"Viện nghiên cứu đào tạo Việt - Anh, Đại học Đà Nẵng",VNUK,1,CR
DDY,"Khoa Y Dược, Đại học Đà Nẵng",SMP,1,CR
DFA,Trường Đại học Tài chính - Quản trị kinh doanh,,1,NR
DHA,"Trường Đại học Luật, Đại học Huế",HUL,1,CR
DHC,"Khoa Giáo dục Thể chất, Đại học Huế",FPU,1,CR
DHD,"Trường Du lịch, Đại học Huế",HUHT,1,CR
DHE,"Khoa Kỹ thuật và công nghệ, Đại học Huế",HUET,1,CR
DHF,"Trường Đại học Ngoại ngữ, Đại học Huế",HUFLIS,1,CR
DHI,"Khoa Quốc tế, Đại học Huế",HUIS,1,CR
DHK,"Trường Đại học Kinh tế, Đại học Huế",HCE,1,CR
