id,subject1,subject2,subject3
D14,nv,nn,ls
D11,nv,nn,vl
D12,nv,nn,hh
D13,nv,nn,sh
D15,nv,nn,dl
D66,nv,nn,gd
U01,nv,nn,th
U02,nv,nn,cn
U03,nv,ls,vl
U04,nv,ls,hh
C12,nv,ls,sh
C00,nv,ls,dl
C19,nv,ls,gd
U05,nv,ls,th
U06,nv,ls,cn
C05,nv,vl,hh
U07,nv,vl,sh
U08,nv,vl,dl
U09,nv,vl,gd
U10,nv,vl,th
U11,nv,vl,cn
C08,nv,hh,sh
U12,nv,hh,dl
C17,nv,hh,gd
U13,nv,hh,th
U14,nv,hh,cn
C13,nv,sh,dl
U15,nv,sh,gd
U16,nv,sh,th
U17,nv,sh,cn
C20,nv,dl,gd
U18,nv,dl,th
U19,nv,dl,cn
U20,nv,gd,th
U21,nv,gd,cn
U22,nv,th,cn
D01,to,nv,nn
C03,to,nv,ls
C01,to,nv,vl
C02,to,nv,hh
B03,to,nv,sh
C04,to,nv,dl
C14,to,nv,gd
U23,to,nv,th
U24,to,nv,cn
D09,to,nn,ls
A01,to,nn,vl
D07,to,nn,hh
D08,to,nn,sh
D10,to,nn,dl
D84,to,nn,gd
U25,to,nn,th
U26,to,nn,cn
A03,to,ls,vl
A05,to,ls,hh
U27,to,ls,sh
A07,to,ls,dl
A08,to,ls,gd
U28,to,ls,th
U29,to,ls,cn
A00,to,vl,hh
A02,to,vl,sh
A04,to,vl,dl
A10,to,vl,gd
U30,to,vl,th
U31,to,vl,cn
B00,to,hh,sh
A06,to,hh,dl
A11,to,hh,gd
U32,to,hh,th
U33,to,hh,cn
B02,to,sh,dl
B04,to,sh,gd
U34,to,sh,th
U35,to,sh,cn
A09,to,dl,gd
U36,to,dl,th
U37,to,dl,cn
U38,to,gd,th
U39,to,gd,cn
U40,to,th,cn
H00,nv,ve,ve
H01,to,nv,ve
H02,to,ve,ve
H07,to,ve,ve
H04,to,an,ve
H06,nv,an,ve
H08,nv,ls,ve
V00,to,vl,ve
V01,to,nv,ve
V02,to,an,ve
V03,to,hh,ve
V05,nv,vl,ve
V06,to,dl,ve
V07,to,du,ve
V08,to,ng,ve
V09,to,nh,ve
V10,to,ph,ve
V11,to,tq,ve
R00,nv,ls,nk
R01,nv,dl,nk
R02,nv,to,nk
R03,nv,an,nk
R04,nv,nk,nk
R05,nv,an,bc
R08,nv,an,bc
R07,nv,to,bc
R11,nv,to,qp
R12,nv,an,qp
R15,nv,to,bc
M00,nv,to,nk
M01,nv,ls,nk
M02,nv,nk,nk
M03,nv,nk,nk
M04,to,nk,nk
M10,to,an,nk
M11,nv,an,bc
M13,to,sh,nk
M14,nv,to,bc
M18,nv,to,bc
M15,nv,an,bc
M19,nv,an,bc
M16,nv,vl,bc
M20,nv,vl,bc
M17,nv,ls,bc
M21,nv,ls,bc
M22,nv,to,qp
M23,nv,an,qp
M24,nv,vl,qp
M25,nv,ls,qp
N00,nv,am,am
N01,nv,am,bd
N02,nv,am,am
N03,nv,am,am
N04,nv,nk,nk
N05,nv,nk,nk
N06,nv,am,am
N07,nv,am,am
N08,nv,am,am
N09,nv,am,am
T00,to,sh,td
T01,to,nv,td
T02,to,sh,td
T03,nv,dl,td
T04,to,vl,td
T05,nv,gd,td
T07,nv,dl,td
T08,to,gd,td

