"id","school_id","method_id","subject_group_id","year","converted_score","score","major_id","major_name","note"
QHT-QHT17-thpt-G014-2025-2183975.1052246094,QHT,thpt,G014,2025,21.5,21.5,QHT17,Hải dương học,
QHT-QHT17-thpt-G011-2025-2183975.108642578,QHT,thpt,G011,2025,21.5,21.5,QHT17,Hải dương học,
QHT-QHT17-thpt-G022-2025-2183975.112060547,QHT,thpt,G022,2025,21.5,21.5,QHT17,Hải dương học,
QHT-QHT17-thpt-G020-2025-2183975.1154785156,QHT,thpt,G020,2025,21.5,21.5,QHT17,Hải dương học,
QHT-QHT17-thpt-G027-2025-2183975.119140625,QHT,thpt,G027,2025,21.5,21.5,QHT17,Hải dương học,
QHT-QHT17-thpt-G012-2025-2183975.126220703,QHT,thpt,G012,2025,21.5,21.5,QHT17,Hải dương học,
QHT-QHT17-thpt-G029-2025-2183975.129638672,QHT,thpt,G029,2025,21.5,21.5,QHT17,Hải dương học,
QHT-QHT17-thpt-G034-2025-2183975.1328125,QHT,thpt,G034,2025,21.5,21.5,QHT17,Hải dương học,
QHT-QHT17-thpt-G019-2025-2183975.1481933594,QHT,thpt,G019,2025,21.5,21.5,QHT17,Hải dương học,
QHT-QHT17-thpt-G045-2025-2183975.15234375,QHT,thpt,G045,2025,21.5,21.5,QHT17,Hải dương học,
QHT-QHT17-thpt-G007-2025-2183975.1557617188,QHT,thpt,G007,2025,21.5,21.5,QHT17,Hải dương học,
QHT-QHT18-thpt-G001-2025-2184098.1032714844,QHT,thpt,G001,2025,22.05,22.05,QHT18,Địa chất học,
QHT-QHT18-thpt-G010-2025-2184098.12109375,QHT,thpt,G010,2025,22.05,22.05,QHT18,Địa chất học,
QHT-QHT18-thpt-G005-2025-2184098.126953125,QHT,thpt,G005,2025,22.05,22.05,QHT18,Địa chất học,
QHT-QHT18-thpt-G014-2025-2184098.130859375,QHT,thpt,G014,2025,22.05,22.05,QHT18,Địa chất học,
QHT-QHT18-thpt-G035-2025-2184098.1342773438,QHT,thpt,G035,2025,22.05,22.05,QHT18,Địa chất học,
QHT-QHT18-thpt-G011-2025-2184098.1381835938,QHT,thpt,G011,2025,22.05,22.05,QHT18,Địa chất học,
QHT-QHT18-thpt-G020-2025-2184098.1416015625,QHT,thpt,G020,2025,22.05,22.05,QHT18,Địa chất học,
QHT-QHT18-thpt-G012-2025-2184098.1486816406,QHT,thpt,G012,2025,22.05,22.05,QHT18,Địa chất học,
QHT-QHT18-thpt-G029-2025-2184098.1520996094,QHT,thpt,G029,2025,22.05,22.05,QHT18,Địa chất học,
QHT-QHT18-thpt-G034-2025-2184098.1557617188,QHT,thpt,G034,2025,22.05,22.05,QHT18,Địa chất học,
QHT-QHT18-thpt-G019-2025-2184098.1591796875,QHT,thpt,G019,2025,22.05,22.05,QHT18,Địa chất học,
QHT-QHT18-thpt-G027-2025-2184098.1740722656,QHT,thpt,G027,2025,22.05,22.05,QHT18,Địa chất học,
